id,sub,name
4,401,004 凯德置地0衡山路
15,402,005 陆开发收头-晓莉
18,402,008 教师公寓-晓莉
30,402,018 肿瘤医院-姚华伟
35,402,023 南浦地铁-唐礼一
36,402,024 耀华路-唐礼一
39,402,027 临港边检站-周君
40,402,028 都江堰市援建工程-周君
41,402,029 北街小学-周君
42,402,030 北区中学-周君
43,402,031 西宁-楼楠
45,402,033 都江堰福利院-孙乾
46,402,034 南浦大桥-杜晓晖
47,402,035 191地块-杜晓晖
48,402,036 陆家嘴-杜晓晖
49,402,037 新凤城191施组-杜晓晖
50,402,038 小洋山服务中心-张巳梁
57,402,045 107108地块
58,402,046 衡山路12号地块-王亮
61,402,049 高院
64,402,052 锦麟天地
65,402,053 中远集运
66,402,054 一中院
67,402,055 青浦青少年素质教育基地
74,404,003 四季苑-陆辉
75,404,004 飞洲国际-高骏
76,404,005 海泰-高骏
77,404,006 世茂湖滨-高骏
78,404,007 大众新冲压车间-张雷
81,404,010 锦麟-陆献荣
82,404,011 软件园-陆献荣
83,404,012 大众三汽车身车间
84,404,013 汤臣-黄明微
87,406,002 南京紫峰
89,406,004 上海港国际客运中心
90,406,005 上海市磁悬浮快速列车工程二标五段
93,406,008 东方宾馆
94,406,009 东方饭店改建工程
95,406,010 国电
98,406,013 金外滩
101,406,015 科技馆
103,406,017 新华御庭施组
104,406,018 樱花度假村改建工程
105,406,019 震旦施组
108,406,022 虹桥机场T2