id,sub,name,pid,phase
116,499 公司以外,F1施组,736,9
117,499 公司以外,世博园区,134,9
127,500 零散资料,008 世博博物馆,370,9
128,500 零散资料,010 玉佛寺,31,9
131,500 零散资料,013 南京金鹰天地广场,540,9
132,500 零散资料,014 宁波新世界,564,9
138,500 零散资料,020 海门路55#,404,9
139,500 零散资料,022 程十发美术馆,42,9
140,500 零散资料,024 丽华苑别墅,343,9
152,500 零散资料,临港联合厂房送审方案9月4日,208,9
153,500 零散资料,五角场车场,737,9
154,500 零散资料,凌兆杨思车站,738,9
155,500 零散资料,华夏金融,739,9
157,500 零散资料,吴淞医院,740,9
159,500 零散资料,城建学院,741,9
161,500 零散资料,大众物流,742,9
164,500 零散资料,建国西路75号大修,345,9
174,500 零散资料,水族馆,743,9
175,500 零散资料,海事法院,287,9
176,500 零散资料,科学技术出版社,744,9
177,500 零散资料,胸科医院,133,9
183,500 零散资料,银联培训中心,227,9
184,500 零散资料,闵联厂房钢结构施组,745,9
186,510 市政工程公司,01 虹梅南路高架hm-1标,264,9
187,510 市政工程公司,02 虹梅南路污水标,401,9